Starbucks,"Hot Mulled Fruit - Grape with Chai, Orange and Cinnamon Venti",99.0,25
Starbucks,"Hot Mulled Fruit - Apple with Chai, Dried Apple and Cinnamon Venti",88.0,22
Starbucks,"Hot Mulled Fruit - Grape with Chai, Orange and Cinnamon Grande",76.0,19
Starbucks,White Chocolate Mocha with Whipped Cream Venti,73.8,18
Starbucks,"Hot Mulled Fruit - Apple with Chai, Dried Apple and Cinnamon Grande",69.0,17
Starbucks,Signature Hot Chocolate Venti,60.0,15
Starbucks,White Chocolate Mocha with Whipped Cream Grande,59.1,15
Starbucks,Chai Tea Latte Venti,52.0,13
Starbucks,"Hot Mulled Fruit - Grape with Chai, Orange and Cinnamon Tall",52.0,13
Starbucks,Signature Hot Chocolate Grande,47.4,12
Starbucks,"Hot Mulled Fruit - Apple with Chai, Dried Apple and Cinnamon Tall",47.0,12
Starbucks,White Chocolate Mocha with Whipped Cream Tall,44.4,11
Starbucks,Mocha with Whipped Cream Venti,43.2,11
Starbucks,Caramel Macchiatto Venti,42.1,11
Starbucks,Classic Hot Chocolate Venti,41.8,10
Starbucks,Chai Tea Latte Grande,41.5,10
Starbucks,Pumpkin Spice Latte with Whip Venti,39.2,10
Starbucks,Signature Hot Chocolate Tall,36.4,9
Starbucks,Mocha with Whipped Cream Grande,32.9,8
Starbucks,Classic Hot Chocolate Grande,32.9,8
Starbucks,Chai Tea Latte Tall,31.3,8
Starbucks,Caramel Macchiatto Grande,31.0,8
Starbucks,Pumpkin Spice Latte with Whip Grande,30.6,8
Starbucks,White Chocolate Mocha with Whipped Cream Short,29.9,7
Starbucks,Mocha with Whipped Cream Tall,26.3,7
Starbucks,Classic Hot Chocolate Tall,25.8,6
Starbucks,Caramel Macchiatto Tall,25.5,6
Starbucks,Pumpkin Spice Latte with Whip Tall,24.1,6
Starbucks,Signature Hot Chocolate Short,23.9,6
Starbucks,Chai Tea Latte short,20.9,5
Starbucks,Mocha with Whipped Cream Short,16.8,4
Starbucks,Classic Hot Chocolate Short,16.8,4
Starbucks,Pumpkin Spice Latte with Whip Short,15.6,4
Starbucks,Caramel Macchiatto Short,14.7,4
